CName,ContextKey,MemberCode,IsRowKey,DefaultValue
A10.08.a_040_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_STBS],StrategyNAVRate,0,
A10.08.a_050_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_FXIA],HedgeFundStrategyType,1,RELV_FXIA
A10.08.a_050_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_FXIA],PrimaryStrategyFlag,0,
A10.08.a_050_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_FXIA],StrategyNAVRate,0,
A10.08.a_060_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_CBAR],HedgeFundStrategyType,1,RELV_CBAR
A10.08.a_060_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_CBAR],PrimaryStrategyFlag,0,
A10.08.a_060_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_CBAR],StrategyNAVRate,0,
A10.08.a_070_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_VLAR],HedgeFundStrategyType,1,RELV_VLAR
A10.08.a_070_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_VLAR],PrimaryStrategyFlag,0,
A10.08.a_070_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[RELV_VLAR],StrategyNAVRate,0,
A10.08.a_080_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_DSRS],HedgeFundStrategyType,1,EVDR_DSRS
A10.08.a_080_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_DSRS],PrimaryStrategyFlag,0,
A10.08.a_080_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_DSRS],StrategyNAVRate,0,
A10.08.a_090_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_RAMA],HedgeFundStrategyType,1,EVDR_RAMA
A10.08.a_090_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_RAMA],PrimaryStrategyFlag,0,
A10.08.a_090_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_RAMA],StrategyNAVRate,0,
A10.08.a_100_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_EYSS],HedgeFundStrategyType,1,EVDR_EYSS
A10.08.a_100_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_EYSS],PrimaryStrategyFlag,0,
A10.08.a_100_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EVDR_EYSS],StrategyNAVRate,0,
A10.08.a_110_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[CRED_LGST],HedgeFundStrategyType,1,CRED_LGST
A10.08.a_110_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[CRED_LGST],PrimaryStrategyFlag,0,
A10.08.a_110_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[CRED_LGST],StrategyNAVRate,0,
